presentation_title,nber_wp,published_version,eid,comment
"THE FAILURE OF MODELS THAT PREDICT FAILURE: DISTANCE, INCENTIVES AND DEFAULTS",,"THE FAILURE OF MODELS THAT PREDICT FAILURE: DISTANCE, INCENTIVES, AND DEFAULTS",2-s2.0-84921484851,
THE FEDERAL RESERVE AND THE CROSS-SECTION OF STOCK RETURNS,,THE FEDERAL RESERVE AND THE CROSS-SECTION OF STOCK RETURNS,,SED
THE FLATTENING FIRM AND PRODUCT MARKET COMPETITION: THE EFFECT OF TRADE LIBERALIZATION,14491,THE FLATTENING FIRM AND PRODUCT MARKET COMPETITION: THE EFFECT OF TRADE LIBERALIZATION ON CORPORATE HIERARCHIES,2-s2.0-79958144156,
THE GREAT ESCAPE? A QUANTITATIVE EVALUATION OF THE FEDS NON-STANDARD POLICIES,,THE GREAT ESCAPE?A QUANTITATIVE EVALUATION OF THE FED'S LIQUIDITY FACILITIES,2-s2.0-85017404793,
THE GREAT INFLATION OF THE SEVENTIES: WHAT REALLY HAPPENED?,,THE GREAT INFLATION OF THE SEVENTIES: WHAT REALLY HAPPENED?,,BE J. of Macro
THE HIDDEN COSTS OF HIDDEN DEBT,,HIDDEN COSTS OF HIDDEN DEBT,2-s2.0-84928730421,
THE HIGH-FREQUENCY RESPONSE OF EXCHANGE RATES AND INTEREST RATES TO MACROECONOMIC ANNOUNCEMENTS,,THE HIGH-FREQUENCY RESPONSE OF EXCHANGE RATES AND INTEREST RATES TO MACROECONOMIC ANNOUNCEMENTS,2-s2.0-34247379925,
THE HOUSING MARKET(S) OF SAN DIEGO,17723,THE HOUSING MARKET(S) OF SAN DIEGO,2-s2.0-84925764036,
THE IMPACT OF FOREIGN INTEREST RATE SHOCKS ON THE ECONOMY: THE ROLE OF THE EXCHANGE RATE REGIME,13467,THE IMPACT OF FOREIGN INTEREST RATES ON THE ECONOMY: THE ROLE OF THE EXCHANGE RATE REGIME,2-s2.0-40149085451,
THE IMPACT OF INVESTOR PROTECTION LAW ON CORPORATE POLICY: EVIDENCE FROM THE BLUE SKY LAWS,,THE IMPACT OF INVESTOR PROTECTION LAW ON CORPORATE POLICY AND PERFORMANCE: EVIDENCE FROM THE BLUE SKY LAWS,2-s2.0-84873111564,
THE IMPACT OF RISK AND UNCERTAINTY ON EXPECTED RETURNS,,THE IMPACT OF RISK AND UNCERTAINTY ON EXPECTED RETURNS,2-s2.0-70349192690,
THE INEFFICIENCY OF REFINANCING: WHY PREPAYMENT PENALTIES ARE GOOD FOR RISKY BORROWERS,16586,THE INEFFICIENCY OF REFINANCING: WHY PREPAYMENT PENALTIES ARE GOOD FOR RISKY BORROWERS,2-s2.0-84875512443,
THE INVESTMENT STRATEGIES OF SOVEREIGN WEALTH FUNDS,,THE INVESTMENT STRATEGIES OF SOVEREIGN WEALTH FUNDS,2-s2.0-84878516587,
THE IRRELEVANCE OF MARKET INCOMPLETENESS FOR THE PRICE OF AGGREGATE RISK,12634,WHEN IS MARKET INCOMPLETENESS IRRELEVANT FOR THE PRICE OF AGGREGATE RISK (AND WHEN IS IT NOT)?,2-s2.0-74149087323,
THE LIQUIDITY SERVICE OF SOVEREIGN BONDS,,THE LIQUIDITY SERVICE OF BENCHMARK SECURITIES,2-s2.0-36849002988,
THE LONG-RUN RISKS MODEL AND AGGREGATE ASSET PRICES: AN EMPIRICAL ASSESSMENT,14788,THE LONG-RUN RISKS MODEL AND AGGREGATE ASSET PRICES: AN EMPIRICAL ASSESSMENT,,CFR
THE MACROECONOMIC EFFECTS OF OIL PRICE SHOCKS: WHY ARE THE 2000S SO DIFFERENT FROM THE 1970S?,13368,THE MACROECONOMIC EFFECTS OF OIL PRICE SHOCKS: WHY ARE THE 2000S SO DIFFERENT FROM THE 1970S?,,In Chapter
THE MAGIC OF THE EXCHANGE RATE: OPTIMAL ESCAPE FROM A LIQUIDITY TRAP IN SMALL AND LARGE OPEN ECONOMIES,10679,CREDIBLE COMMITMENT TO OPTIMAL ESCAPE FROM A LIQUIDITY TRAP: THE ROLE OF THE BALANCE SHEET OF AN INDEPENDENT CENTRAL BANK,2-s2.0-35448992518,
THE MARKET FOR FINANCIAL ADVICE: AN AUDIT STUDY,17929,,,
THE MARKET FOR MERGERS AND THE BOUNDARIES OF THE FIRM,,THE MARKET FOR MERGERS AND THE BOUNDARIES OF THE FIRM,2-s2.0-43649085253,
THE MEDIA AND ASSET PRICES,8711,PRIVATE BENEFITS OF CONTROL: AN INTERNATIONAL COMPARISON,2-s2.0-1842445955,
THE MICRO FOUNDATIONS OF PRICE-SETTING BEHAVIOR,,THE MICRO FOUNDATIONS OF PRICE-SETTING BEHAVIOR,,SED
THE MICRO-EMPIRICS OF COLLECTIVE ACTION: THE CASE OF BUSINESS IMPROVEMENT DISTRICTS,,THE MICRO-EMPIRICS OF COLLECTIVE ACTION: THE CASE OF BUSINESS IMPROVEMENT DISTRICTS,2-s2.0-81055157097,
THE MICROFOUNDATIONS OF HOT AND COLD MARKETS,,HOT AND COLD MARKETS,2-s2.0-60849102205,
THE MODERN HISTORY OF EXCHANGE RATE ARRANGEMENTS: A REINTERPRETATION,8963,THE MODERN HISTORY OF EXCHANGE RATE ARRANGEMENTS: A REINTERPRETATION,2-s2.0-1642369860,
THE OPTIMAL INFLATION RATE IN NEW KEYNESIAN MODELS,16093,THE OPTIMAL INFLATION RATE IN NEW KEYNESIAN MODELS: SHOULD CENTRAL BANKS RAISE THEIR INFLATION TARGETS IN LIGHT OF THE ZERO LOWER BOUND?,2-s2.0-84867777190,
THE OUTPUT GAP AND OPTIMAL MONETARY POLICY,,SPEED LIMIT POLICIES: THE OUTPUT GAP AND OPTIMAL MONETARY POLICY,2-s2.0-0043227270,
THE POLITICS OF BANK FAILURES: EVIDENCE FROM EMERGING MARKETS,,THE POLITICS OF BANK FAILURES: EVIDENCE FROM EMERGING MARKETS,2-s2.0-31444448872,
THE PRICING BEHAVIOUR OF ITALIAN FIRMS: NEW SURVEY EVIDENCE ON PRICE STICKINESS,,THE PRICING BEHAVIOR OF ITALIAN FIRMS,2-s2.0-84920752219,
THE REAL EFFECTS OF DEBT CERTIFICATION: EVIDENCE FROM THE INTRODUCTION OF BANK LOAN RATINGS,,THE REAL EFFECTS OF DEBT CERTIFICATION: EVIDENCE FROM THE INTRODUCTION OF BANK LOAN RATINGS,2-s2.0-65349089015,
THE REAL EFFECTS OF FINANCIAL DEVELOPMENT,8923,DOES LOCAL FINANCIAL DEVELOPMENT MATTER?,2-s2.0-4043079888,
"THE REAL THING: NOMINAL PRICE RIGIDITY OF THE NICKEL COKE, 1886-1959",,"""THE REAL THING"": NOMINAL PRICE RIGIDITY OF THE NICKEL COKE, 1886-1959",2-s2.0-2442550506,
THE REALLY LONG RUN PERFORMANCE OF IPOS- THE PRE-NASDAQ EVIDENCE,,THE REALLY LONG-RUN PERFORMANCE OF INITIAL PUBLIC OFFERINGS: THE PRE-NASDAQ EVIDENCE,2-s2.0-0142157067,
THE RETURN OF THE WAGE PHILLIPS CURVE,15758,THE RETURN OF THE WAGE PHILLIPS CURVE,2-s2.0-79955873255,
THE RETURNS ON HUMAN CAPITAL: GOOD NEWS ON WALL STREET IS BAD NEWS ON MAIN STREET,11564,THE RETURNS ON HUMAN CAPITAL: GOOD NEWS ON WALL STREET IS BAD NEWS ON MAIN STREET,2-s2.0-52449112117,
THE RETURNS TO CURRENCY SPECULATION,12489,THE RETURNS TO CURRENCY SPECULATION IN EMERGING MARKETS,2-s2.0-34547265616,
THE RISK-ADJUSTED COST OF FINANCIAL DISTRESS,11685,THE RISK-ADJUSTED COST OF FINANCIAL DISTRESS,2-s2.0-36649034710,
THE ROLE OF DEBT AND EQUITY FINANCE OVER THE BUSINESS CYCLE,,THE ROLE OF DEBT AND EQUITY FINANCE OVER THE BUSINESS CYCLE,2-s2.0-84869084739,
THE SMALL WORLD OF INVESTING: BOARD CONNECTIONS AND MUTUAL FUND RETURNS,13121,THE SMALL WORLD OF INVESTING: BOARD CONNECTIONS AND MUTUAL FUND RETURNS,2-s2.0-55849123030,
THE SOCIAL COST OF NEAR-RATIONAL INVESTMENT,17027,THE SOCIAL COST OF NEAR-RATIONAL INVESTMENT,2-s2.0-85017465244,
THE SOCIAL COST OF NEAR-RATIONAL INVESTMENT: WHY WE SHOULD WORRY ABOUT VOLATILE STOCK MARKETS,17027,THE SOCIAL COST OF NEAR-RATIONAL INVESTMENT,2-s2.0-85017465244,
THE SUPPLY-SIDE DETERMINANTS OF LOAN CONTRACT STRICTNESS,,THE SUPPLY-SIDE DETERMINANTS OF LOAN CONTRACT STRICTNESS,2-s2.0-84866156121,
THE SURVIVAL AND PRICE IMPACT OF IRRATIONAL TRADERS,9434,THE PRICE IMPACT AND SURVIVAL OF IRRATIONAL TRADERS,2-s2.0-33645068448,
THE TAX (DIS-) ADVANTAGE OF A FIRM ISSUING OPTIONS ON ITS OWN STOCK,,THE TAX (DIS)ADVANTAGE OF A FIRM ISSUING OPTIONS ON ITS OWN STOCK,2-s2.0-0344702682,
THE TERM STRUCTURE OF INFLATION FORECASTS,,THE TERM STRUCTURE OF INFLATION EXPECTATIONS,2-s2.0-84865571951,
THE THREE-PASS REGRESSION FILTER: A NEW APPROACH TO FORECASTING USING MANY PREDICTORS,,THE THREE-PASS REGRESSION FILTER: A NEW APPROACH TO FORECASTING USING MANY PREDICTORS,2-s2.0-84929263289,
THE TIME VARYING VOLATILITY OF MACROECONOMIC FLUCTUATIONS,12022,THE TIME-VARYING VOLATILITY OF MACROECONOMIC FLUCTUATIONS,2-s2.0-45849088342,
THE TRANSITION TO HOME OWNERSHIP AND THE BLACK-WHITE WEALTH GAP,,THE TRANSITION TO HOME OWNERSHIP AND THE BLACK-WHITE WEALTH GAP,2-s2.0-0036589440,
THE VALUE OF LUMINOSITY DATA AS A PROXY FOR ECONOMIC STATISTICS,16317,,,
THE VALUE SPREAD,8242,THE VALUE SPREAD,2-s2.0-0142188080,
THE WEALTH-CONSUMPTION RATIO,13896,"LONG RUN RISK, THE WEALTH-CONSUMPTION RATIO,AND THE TEMPORAL PRICING OF RISK",2-s2.0-77956109830,
THE WELFARE COST OF BANK CAPITAL REQUIREMENTS,,THE WELFARE COST OF BANK CAPITAL REQUIREMENTS,2-s2.0-44249093509,
THE Y-THEORY OF INVESTMENT,12462,THE BOND MARKET'S Q*,2-s2.0-72449120021,
"THE YOUNG, THE OLD, AND THE RESTLESS: DEMOGRAPHICS AND BUSINESS CYCLE VOLATILITY",14063,"THE YOUNG, THE OLD, AND THE RESTLESS: DEMOGRAPHICS AND BUSINESS CYCLE VOLATILITY",2-s2.0-73649149079,
THE ZERO BOUND ON INTEREST RATES AND OPTIMAL MONETARY POLICY,,THE ZERO BOUND ON INTEREST RATES AND OPTIMAL MONETARY POLICY,2-s2.0-0043241015,
THEORETICAL NOTES ON BUBBLES AND THE CURRENT CRISIS,16399,THEORETICAL NOTES ON BUBBLES AND THE CURRENT CRISIS,2-s2.0-79960275146,
THERE GOES THE NEIGHBORHOOD? ESTIMATES OF THE IMPACT OF CRIME RISK ON PROPERTY VALUES FROM MEGAN'S LAWS,,ESTIMATES OF THE IMPACT OF CRIME RISK ON PROPERTY VALUES FROM MEGAN'S LAWS,2-s2.0-70449664125,
TIME CONSISTENT MONETARY POLICY WITH ENDOGENOUS PRICE RIGIDITY,,TIME CONSISTENT MONETARY POLICY WITH ENDOGENOUS PRICE RIGIDITY,2-s2.0-37349047872,
TIME-CONSISTENT NO-ARBITRAGE MODELS OF THE TERM STRUCTURE,9458,,,
TO FLOAT OR TO TRAIL: EVIDENCE ON THE IMPACT OF EXCHANGE RATE REGIMES,,TO FLOAT OR TO FIX: EVIDENCE ON THE IMPACT OF EXCHANGE RATE REGIMES ON GROWTH,2-s2.0-0346409542,
TOWARD A QUANTITATIVE GENERAL EQUILIBRIUM ASSET PRICING MODEL WITH INTANGIBLE CAPITAL,,TOWARD A QUANTITATIVE GENERAL EQUILIBRIUM ASSET PRICING MODEL WITH INTANGIBLE CAPITAL,2-s2.0-84872744109,
TRACING THE IMPACT OF BANK LIQUIDITY SHOCKS,12612,TRACING THE IMPACT OF BANK LIQUIDITY SHOCKS: EVIDENCE FROM AN EMERGING MARKET,2-s2.0-53349118369,
TRACKING THE SOURCE OF THE DECLINE IN GDP VOLATILITY: AN ANALYSIS OF THE AUTOMOBILE INDUSTRY,10384,DECLINING VOLATILITY IN THE U.S. AUTOMOBILE INDUSTRY,2-s2.0-33847663850,
TRADE ADJUSTMENT IN LARGE CRISES,16958,TRADE ADJUSTMENT AND PRODUCTIVITY IN LARGE CRISES,2-s2.0-84896918656,
"TRADE COSTS, ASSET MARKET FRICTIONS AND RISK SHARING: A JOINT TEST",,"TRADE COSTS, ASSET MARKET FRICTIONS, AND RISK SHARING",2-s2.0-84867706275,
"TRADE COSTS, PRICING TO MARKET AND INTERNATIONAL RELATIVE PRICES",,"PRICING-TO-MARKET, TRADE COSTS, AND INTERNATIONAL RELATIVE PRICES",2-s2.0-58149215537,
TRADE LIBERALIZATION AND LUMPY INVESTMENT: EVIDENCE FROM CHILEAN PLAN-LEVEL DATA,,TRADE ORIENTATION AND LABOR MARKET EVOLUTION: EVIDENCE FROM CHILEAN PLANT-LEVEL DATA,,In Chapter
TRENDS IN INTERNATIONAL PRICES,,GLOBAL VERSUS LOCAL SHOCKS IN MICRO PRICE DYNAMICS,2-s2.0-84952877869,
TRUST AND DELEGATION,15529,TRUST AND DELEGATION,2-s2.0-83955164244,
TRUSTING THE STOCK MARKET,11648,TRUSTING THE STOCK MARKET,2-s2.0-45849137389,
UK MONETARY REGIMES AND MACROECONOMIC STYLISED FACTS,,INVESTIGATING INFLATION PERSISTENCE ACROSS MONETARY REGIMES,2-s2.0-45849130081,
"UNCERTAIN TIMES, UNCERTAIN MEASURES",,"UNCERTAIN TIMES, UNCERTAIN MEASURES",,SED
UNCERTAINTY AND ECONOMIC ACTIVITY: EVIDENCE FROM BUSINESS SURVEY DATA,16143,UNCERTAINTY AND ECONOMIC ACTIVITY: EVIDENCE FROM BUSINESS SURVEY DATA,2-s2.0-84878983267,
UNCERTAINTY SHOCKS IN A MODEL OF EFFECTIVE DEMAND,18420,UNCERTAINTY SHOCKS IN A MODEL OF EFFECTIVE DEMAND,2-s2.0-85018298203,
UNDERSTANDING BANK RUNS: THE IMPORTANCE OF DEPOSITOR-BANK RELATIONSHIPS AND NETWORKS,14280,UNDERSTANDING BANK RUNS: THE IMPORTANCE OF DEPOSITOR-BANK RELATIONSHIPS AND NETWORKS,2-s2.0-84862612131,
UNDERSTANDING INDEX OPTION RETURNS,,UNDERSTANDING INDEX OPTION RETURNS,2-s2.0-64149102384,
UNDERSTANDING INTERNATIONAL PRICE DIFFERENCES USING BARCODE DATA,14017,,,
UNDERSTANDING THE EFFECTS OF FISCAL POLICY SHOCKS,11578,UNDERSTANDING THE EFFECTS OF GOVERNMENT SPENDING ON CONSUMPTION,2-s2.0-36348989448,
UNEMPLOYMENT AND PRODUCTIVITY IN THE LONG RUN: THE ROLE OF MACROECONOMIC VOLATILITY,16374,UNEMPLOYMENT AND PRODUCTIVITY IN THE LONG RUN: THE ROLE OF MACROECONOMIC VOLATILITY,2-s2.0-84937108575,
UNEMPLOYMENT FLUCTUATION WITH STAGGERED NASH WAGE BARGAINING,12498,UNEMPLOYMENT FLUCTUATIONS WITH STAGGERED NASH WAGE BARGAINING,2-s2.0-62749203638,
UNEMPLOYMENT IN AN ESTIMATED NEW KEYNESIAN MODEL,17084,UNEMPLOYMENT IN AN ESTIMATED NEW KEYNESIAN MODEL,2-s2.0-84865608721,
UNEXPLOITED GAINS FROM INTERNATIONAL DIVERSIFICATION: PATTERNS OF PORTFOLIO HOLDINGS AROUND THE WORLD,16629,UNEXPLOITED GAINS FROM INTERNATIONAL DIVERSIFICATION: PATTERNS OF PORTFOLIO HOLDINGS AROUND THE WORLD,2-s2.0-84887019964,
UNIFORM INFERENCE IN AUTOREGRESSIVE MODELS,,UNIFORM INFERENCE IN AUTOREGRESSIVE MODELS,2-s2.0-34547665221,
UNNATURAL SELECTION: PERVERSE INCENTIVES AND THE MISALLOCATION OF CREDIT IN JAPAN,9643,UNNATURAL SELECTION: PERVERSE INCENTIVES AND THE MISALLOCATION OF CREDIT IN JAPAN,2-s2.0-29544450516,
UNSTABLE BANKING,14943,UNSTABLE BANKING,2-s2.0-77953812948,
"URBANIZATION, PRODUCTIVITY AND INNOVATION: EVIDENCE FROM INVESTMENT IN HIGHER EDUCATION",,"URBANIZATION, PRODUCTIVITY, AND INNOVATION: EVIDENCE FROM INVESTMENT IN HIGHER EDUCATION",2-s2.0-67349243702,
US SHOCKS AND GLOBAL EXCHANGE RATE CONFIGURATIONS,,US SHOCKS AND GLOBAL EXCHANGE RATE CONFIGURATIONS,2-s2.0-41149091774,
VALUE AND MOMENTUM EVERYWHERE,,VALUE AND MOMENTUM EVERYWHERE,2-s2.0-84876361140,
VAR ANALYSIS AND THE GREAT MODERATION,,VAR ANALYSIS AND THE GREAT MODERATION,2-s2.0-74349127207,
VARIETIES AND THE TRANSFER PROBLEM: THE EXTENSIVE MARGIN OF CURRENT ACCOUNT ADJUSTMENT,13795,VARIETIES AND THE TRANSFER PROBLEM,2-s2.0-84870372403,
VEHICLE CURRENCY,,VEHICLE CURRENCY,2-s2.0-84872817345,
VENTURE CAPITAL AND THE PROFESSIONALIZATION OF START-UP FIRMS EMPIRICAL EVIDENCE,,VENTURE CAPITAL AND THE PROFESSIONALIZATION OF START-UP FIRMS: EMPIRICAL EVIDENCE,2-s2.0-0013118760,
VOLATILITY FORECAST COMPARISON USING IMPERFECT VOLATILITY PROXIES,,VOLATILITY FORECAST COMPARISON USING IMPERFECT VOLATILITY PROXIES,2-s2.0-78649732201,
"VOLATILITY, PREDICTABILITY AND UNCERTAINTY IN THE GREAT MODERATION: EVIDENCE FROM THE SURVEY OF PROFESSIONAL FORECASTERS",,"MACROECONOMIC VOLATILITY, PREDICTABILITY, AND UNCERTAINTY IN THE GREAT MODERATION: EVIDENCE FROM THE SURVEY OF PROFESSIONAL FORECASTERS",2-s2.0-34248575833,
VOLUNTEERING TO BE TAXED: BUSINESS IMPROVEMENT DISTRICTS AND THE EXTRA-GOVERNMENTAL PROVISION OF PUBLIC SAFETY,,VOLUNTEERING TO BE TAXED: BUSINESS IMPROVEMENT DISTRICTS AND THE EXTRA-GOVERNMENTAL PROVISION OF PUBLIC SAFETY,2-s2.0-37549016729,
"WATCH WHAT I DO, NOT WHAT I SAY: THE UNINTENDED CONSEQUENCES OF THE HOMELAND INVESTMENT ACT",15023,"WATCH WHAT I DO, NOT WHAT I SAY: THE UNINTENDED CONSEQUENCES OF THE HOMELAND INVESTMENT ACT",2-s2.0-79956284288,
WEALTH DESTRUCTION ON A MASSIVE SCALE: A STUDY OF ACQUIRING-FIRM RETURNS IN THE MERGER WAVE OF THE 1990S,10200,WEALTH DESTRUCTION ON A MASSIVE SCALE? A STUDY OF ACQUIRING-FIRM RETURNS IN THE RECENT MERGER WAVE,2-s2.0-15944391877,
"WEALTH TRANSFERS, CONTAGION, AND PORTFOLIO CONSTRAINTS",11440,THE ROLE OF PORTFOLIO CONSTRAINTS IN THE INTERNATIONAL PROPAGATION OF SHOCKS,2-s2.0-51749114610,
WERE THERE REGIME SWITCHES IN US MONETARY POLICY?,,WERE THERE REGIME SWITCHES IN U.S. MONETARY POLICY?,2-s2.0-33645747482,
WHAT CAN RATIONAL INVESTORS DO ABOUT EXCESSIVE VOLATILITY,13401,EQUILIBRIUM PORTFOLIO STRATEGIES IN THE PRESENCE OF SENTIMENT RISK AND EXCESS VOLATILITY,2-s2.0-62449196420,
WHAT DO INTERNATIONAL ASSET RETURNS IMPLY ABOUT CONSUMPTION RISK SHARING,,EVALUATING INTERNATIONAL CONSUMPTION RISK SHARING GAINS: AN ASSET RETURN VIEW,2-s2.0-84925956173,
WHAT DO WE LEARN FROM THE PRICE OF CRUDE OIL FUTURES?,,WHAT DO WE LEARN FROM THE PRICE OF CRUDE OIL FUTURES?,2-s2.0-77953495106,
WHAT DO YOU EXPECT? IMPERFECT POLICY CREDIBILITY AND TESTS OF THE EXPECTATIONS HYPOTHESIS,,WHAT DO YOU EXPECT? IMPERFECT POLICY CREDIBILITY AND TESTS OF THE EXPECTATIONS HYPOTHESIS,2-s2.0-15844417903,
WHAT DOES MONETARY POLICY DO AT THE ZERO LOWER BOUND?,17154,WHAT DOES MONETARY POLICY DO TO LONG-TERM INTEREST RATES AT THE ZERO LOWER BOUND?,2-s2.0-84868097886,
WHAT DRIVES CHINA'S CURRENT ACCOUNT,,WHAT DRIVES CHINA'S CURRENT ACCOUNT?,2-s2.0-84874771083,
WHAT EXPLAINS THE STOCK MARKET'S REACTION TO FEDERAL RESERVE POLICY?,10402,WHAT EXPLAINS THE STOCK MARKET'S REACTION TO FEDERAL RESERVE POLICY?,2-s2.0-14944344261,
WHAT HAPPENED TO THE QUANTS IN AUGUST 2007? EVIDENCE FROM FACTORS AND TRANSACTIONS DATA,,WHAT HAPPENED TO THE QUANTS IN AUGUST 2007? EVIDENCE FROM FACTORS AND TRANSACTIONS DATA,2-s2.0-78049435792,
WHAT IS THE CONSUMPTION-CAPM MISSING? AN INFORMATION-THEORETIC FRAMEWORK FOR THE ANALYSIS OF ASSET PRICING MODELS,,WHAT IS THE CONSUMPTION-CAPM MISSING? AN INFORMATION-THEORETIC FRAMEWORK FOR THE ANALYSIS OF ASSET PRICING MODELS,2-s2.0-85014459280,
WHAT IS WRONG WITH TAYLOR RULES? USING JUDGMENT IN MONETARY POLICY THROUGH TARGETING RULES,9421,WHAT IS WRONG WITH TAYLOR RULES? USING JUDGMENT IN MONETARY POLICY THROUGH TARGETING RULES,2-s2.0-0042225083,
WHAT TIES RETURN VOLATILITIES TO PRICE VALUATIONS AND FUNDAMENTALS,,WHAT TIES RETURN VOLATILITIES TO PRICE VALUATIONS AND FUNDAMENTALS?,2-s2.0-84884226664,
WHAT--OR WHO--CAUSED THE GREAT DEPRESSION?,15258,WHAT - OR WHO - STARTED THE GREAT DEPRESSION?,2-s2.0-70349607181,
WHAT'S IN A GRADE? SCHOOL REPORT CARDS AND HOUSE PRICES,8019,WHAT'S IN A GRADE? SCHOOL REPORT CARDS AND THE HOUSING MARKET,2-s2.0-4043074220,
WHAT'S VOL GOT TO DO WITH IT,,WHAT'S VOL GOT TO DO WITH IT,2-s2.0-78650552631,
WHEN ARE OUTSIDE DIRECTORS EFFECTIVE,,WHEN ARE OUTSIDE DIRECTORS EFFECTIVE?,2-s2.0-77951208665,
WHEN IS THE GOVERNMENT SPENDING MULTIPLIER LARGE?,15394,WHEN IS THE GOVERNMENT SPENDING MULTIPLIER LARGE?,2-s2.0-79953682799,
WHEN SHOULD BORROWERS REFINANCE THEIR MORTGAGES?,,OPTIMAL MORTGAGE REFINANCING: A CLOSED-FORM SOLUTION,2-s2.0-84878170266,
WHEN SHOULD POLICYMAKERS MAKE ANNOUNCEMENTS?,,WHEN SHOULD POLICYMAKERS MAKE ANNOUNCEMENTS?,,SED
WHO OWNS THE MEDIA?,8288,,,
WHY ARE BUYOUTS LEVERAGED THE FINANCIAL STRUCTURE OF PRIVATE EQUITY FUNDS,12826,WHY ARE BUYOUTS LEVERED? THE FINANCIAL STRUCTURE OF PRIVATE EQUITY FUNDS,2-s2.0-68249137118,
WHY ARE FIRMS USING INTEREST RATE SWAPS TO TIME THE YIELD CURVE?,,THE TWO SIDES OF DERIVATIVES USAGE: HEDGING AND SPECULATING WITH INTEREST RATE SWAPS,2-s2.0-84857318268,
WHY DO FOREIGNERS INVEST IN THE UNITED STATES,13908,WHY DO FOREIGNERS INVEST IN THE UNITED STATES?,2-s2.0-72149113038,
WHY DO HOUSEHOLDS WITHOUT CHILDREN SUPPORT LOCAL PUBLIC SCHOOLS? LINKING HOUSE PRICE CAPITALIZATION TO SCHOOL SPENDING,,WHY DO HOUSEHOLDS WITHOUT CHILDREN SUPPORT LOCAL PUBLIC SCHOOLS? LINKING HOUSE PRICE CAPITALIZATION TO SCHOOL SPENDING,2-s2.0-56449117528,
WHY DO PEOPLE STILL LIVE IN THE RUST BELT? THE EFFECT OF BRICKS AND MORTAR ON URBAN DECLINE,8598,URBAN DECLINE AND DURABLE HOUSING,2-s2.0-23044445249,
WHY DO PORTFOLIOS OF THE ELDERLY DIFFER INTERNATIONALLY,,DIFFERENCES IN PORTFOLIOS ACROSS COUNTRIES: ECONOMIC ENVIRONMENT VERSUS HOUSEHOLD CHARACTERISTICS,2-s2.0-84886036950,
WHY DO PUBLIC FIRMS ISSUE PRIVATE AND PUBLIC SECURITIES,,WHY DO PUBLIC FIRMS ISSUE PRIVATE AND PUBLIC SECURITIES,2-s2.0-84864096570,
WHY DO TERM STRUCTURES IN DIFFERENT CURRENCIES COMOVE,,WHY DO TERM STRUCTURES IN DIFFERENT CURRENCIES CO-MOVE?,2-s2.0-84916234469,
WHY DOES RACIAL SEGREGATION PERSIST? A CASE STUDY OF PHILADELPHIA,,ESTIMATING HOUSING DEMAND WITH AN APPLICATION TO EXPLAINING RACIAL SEGREGATION IN CITIES,2-s2.0-12344318129,
WHY DOES THE SLOPE OF THE TERM STRUCTURE FORECAST EXCESS RETURNS,,TIME VARIATION IN THE COVARIANCE BETWEEN STOCK RETURNS AND CONSUMPTION GROWTH,2-s2.0-23944458111,
WHY DOESN’T CAPITAL FLOW FROM RICH COUNTRIES TO POOR COUNTRIES? AN EMPIRICAL INVESTIGATION,11901,WHY DOESN'T CAPITAL FLOW FROM RICH TO POOR COUNTRIES? AN EMPIRICAL INVESTIGATION,2-s2.0-43449112684,
"WHY DON'T LENDERS RENEGOTIATE MORE HOME MORTGAGES REDEFAULTS, SELF-CURES AND SECURITIZATION",,"WHY DONT LENDERS RENEGOTIATE MORE HOME MORTGAGES? REDEFAULTS, SELF-CURES AND SECURITIZATION",2-s2.0-84886379291,
WHY DON'T PRICES RISE DURING PEAK DEMAND PERIODS EVIDENCE FROM SCANNER DATA,7981,WHY DON'T PRICES RISE DURING PERIODS OF PEAK DEMAND? EVIDENCE FROM SCANNER DATA,2-s2.0-2442699862,
WHY HAS HOUSE PRICE DISPERSION GONE UP?,12538,WHY HAS HOUSE PRICE DISPERSION GONE UP?,2-s2.0-77955725917,
WHY HAS THE U.S. FINANCIAL SECTOR GROWN SO MUCH? THE ROLE OF CORPORATE FINANCE,13405,,,
WHY INFLATION ROSE AND FELL: POLICYMAKERS= BELIEFS AND US POSTWAR STABILIZATION POLICY,,WHY INFLATION ROSE AND FELL: POLICY-MAKERS BELIEFS AND U. S. POSTWAR STABILIZATION POLICY,2-s2.0-33746633914,
WHY IS LONG-HORIZON EQUITY LESS RISKY A DURATION BASED EXPLANATION OF THE VALUE PREMIUM,11144,WHY IS LONG-HORIZON EQUITY LESS RISKY? A DURATION-BASED EXPLANATION OF THE VALUE PREMIUM,2-s2.0-33846191480,
WHY IS MANHATTAN SO EXPENSIVE? REGULATION AND THE RISE OF HOUSE PRICES,,WHY IS MANHATTAN SO EXPENSIVE? REGULATION AND THE RISE IN HOUSING PRICES,2-s2.0-23044444658,
WILL THE U.S. BANK RECAPITALIZATION SUCCEED LESSONS FROM JAPAN,,WILL THE U.S. BANK RECAPITALIZATION SUCCEED? EIGHT LESSONS FROM JAPAN,2-s2.0-77953808477,
WINNERS AND LOSERS IN HOUSING MARKETS,,WINNERS AND LOSERS IN HOUSING MARKETS,2-s2.0-79953019542,
